S,Feedback,Sentiment,punctuation_removed,nltk_token,StopWords_Removed
821,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",Positive,That being said for a phone the camera is very nice many cool effects to play with and video is decent as well,"['that', 'being', 'said', 'for', 'a', 'phone', 'the', 'camera', 'is', 'very', 'nice', 'many', 'cool', 'effects', 'to', 'play', 'with', 'and', 'video', 'is', 'decent', 'as', 'well']","['said', 'phone', 'camera', 'nice', 'many', 'cool', 'effects', 'play', 'video', 'decent', 'well']"
822,I have been very satisfied with this cell phone from day one.,Positive,I have been very satisfied with this cell phone from day one,"['i', 'have', 'been', 'very', 'satisfied', 'with', 'this', 'cell', 'phone', 'from', 'day', 'one']","['satisfied', 'cell', 'phone', 'day', 'one']"
823,They keep getting better and better (this is my third one and I've had numerous Palms too).,Positive,They keep getting better and better this is my third one and Ive had numerous Palms too,"['they', 'keep', 'getting', 'better', 'and', 'better', 'this', 'is', 'my', 'third', 'one', 'and', 'ive', 'had', 'numerous', 'palms', 'too']","['keep', 'getting', 'better', 'better', 'third', 'one', 'ive', 'numerous', 'palms']"
824,Awkward to use and unreliable.,Negative,Awkward to use and unreliable,"['awkward', 'to', 'use', 'and', 'unreliable']","['awkward', 'use', 'unreliable']"
825,The shipping time was also very quick!,Positive,The shipping time was also very quick,"['the', 'shipping', 'time', 'was', 'also', 'very', 'quick']","['shipping', 'time', 'also', 'quick']"
826,Not as good as I had hoped.,Negative,Not as good as I had hoped,"['not', 'as', 'good', 'as', 'i', 'had', 'hoped']","['good', 'hoped']"
827,Good case!.,Positive,Good case,"['good', 'case']","['good', 'case']"
828,Doesn't Work.,Negative,Doesnt Work,"['doesnt', 'work']","['doesnt', 'work']"
829,Really good product.,Positive,Really good product,"['really', 'good', 'product']","['really', 'good', 'product']"
830,Unfortunately it did not work.,Negative,Unfortunately it did not work,"['unfortunately', 'it', 'did', 'not', 'work']","['unfortunately', 'work']"
831,All three broke within two months of use.,Negative,All three broke within two months of use,"['all', 'three', 'broke', 'within', 'two', 'months', 'of', 'use']","['three', 'broke', 'within', 'two', 'months', 'use']"
832,dont buy it.,Negative,dont buy it,"['dont', 'buy', 'it']","['dont', 'buy']"
833,"My father has the V265, and the battery is dying.",Negative,My father has the V265 and the battery is dying,"['my', 'father', 'has', 'the', 'v265', 'and', 'the', 'battery', 'is', 'dying']","['father', 'v265', 'battery', 'dying']"
834,"However, the ear pads come off easily and after only one week I lost one.",Negative,However the ear pads come off easily and after only one week I lost one,"['however', 'the', 'ear', 'pads', 'come', 'off', 'easily', 'and', 'after', 'only', 'one', 'week', 'i', 'lost', 'one']","['however', 'ear', 'pads', 'come', 'easily', 'one', 'week', 'lost', 'one']"
835,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",Negative,The calls drop the phone comes on and off at will the screen goes black and the worst of all it stops ringing intermittently,"['the', 'calls', 'drop', 'the', 'phone', 'comes', 'on', 'and', 'off', 'at', 'will', 'the', 'screen', 'goes', 'black', 'and', 'the', 'worst', 'of', 'all', 'it', 'stops', 'ringing', 'intermittently']","['calls', 'drop', 'phone', 'comes', 'screen', 'goes', 'black', 'worst', 'stops', 'ringing', 'intermittently']"
836,"Horrible, horrible protector.",Negative,Horrible horrible protector,"['horrible', 'horrible', 'protector']","['horrible', 'horrible', 'protector']"
837,I don't like this Nokia either.,Negative,I dont like this Nokia either,"['i', 'dont', 'like', 'this', 'nokia', 'either']","['dont', 'like', 'nokia', 'either']"
838,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",Negative,Reaching for the bottom row is uncomfortable and the send and end keys are not where I expect them to be3,"['reaching', 'for', 'the', 'bottom', 'row', 'is', 'uncomfortable', 'and', 'the', 'send', 'and', 'end', 'keys', 'are', 'not', 'where', 'i', 'expect', 'them', 'to', 'be3']","['reaching', 'bottom', 'row', 'uncomfortable', 'send', 'end', 'keys', 'expect', 'be3']"
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,Negative,I have bought this Nokia cell phone a few weeks ago and it was a nightmare,"['i', 'have', 'bought', 'this', 'nokia', 'cell', 'phone', 'a', 'few', 'weeks', 'ago', 'and', 'it', 'was', 'a', 'nightmare']","['bought', 'nokia', 'cell', 'phone', 'weeks', 'ago', 'nightmare']"
840,It would take too long to describe how bad my customer service experience has been with Amazon.,Negative,It would take too long to describe how bad my customer service experience has been with Amazon,"['it', 'would', 'take', 'too', 'long', 'to', 'describe', 'how', 'bad', 'my', 'customer', 'service', 'experience', 'has', 'been', 'with', 'amazon']","['would', 'take', 'long', 'describe', 'bad', 'customer', 'service', 'experience', 'amazon']"
841,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,Negative,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE,"['the', 'only', 'very', 'disappointing', 'thing', 'was', 'there', 'was', 'no', 'speakerphone']","['disappointing', 'thing', 'speakerphone']"
842,Terrible.. My car will not accept this cassette.,Negative,Terrible My car will not accept this cassette,"['terrible', 'my', 'car', 'will', 'not', 'accept', 'this', 'cassette']","['terrible', 'car', 'accept', 'cassette']"
843,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",Negative,Product is useless since it does not have enough charging current to charge the 2 cellphones I was planning to use it with,"['product', 'is', 'useless', 'since', 'it', 'does', 'not', 'have', 'enough', 'charging', 'current', 'to', 'charge', 'the', '2', 'cellphones', 'i', 'was', 'planning', 'to', 'use', 'it', 'with']","['product', 'useless', 'since', 'enough', 'charging', 'current', 'charge', '2', 'cellphones', 'planning', 'use']"
844,It's not what it says it is.,Negative,Its not what it says it is,"['its', 'not', 'what', 'it', 'says', 'it', 'is']",['says']
845,Stay Away From the Q!.,Negative,Stay Away From the Q,"['stay', 'away', 'from', 'the', 'q']","['stay', 'away', 'q']"
846,Used and dirty.,Negative,Used and dirty,"['used', 'and', 'dirty']","['used', 'dirty']"
847,Very unreliable service from T-mobile !,Negative,Very unreliable service from Tmobile ,"['very', 'unreliable', 'service', 'from', 'tmobile']","['unreliable', 'service', 'tmobile']"
848,Not good enough for the price.,Negative,Not good enough for the price,"['not', 'good', 'enough', 'for', 'the', 'price']","['good', 'enough', 'price']"
849,I bought two of them and neither will charge.,Negative,I bought two of them and neither will charge,"['i', 'bought', 'two', 'of', 'them', 'and', 'neither', 'will', 'charge']","['bought', 'two', 'neither', 'charge']"
850,It looks very nice.,Positive,It looks very nice,"['it', 'looks', 'very', 'nice']","['looks', 'nice']"
851,"This is an excellent tool, especially when paired with your phone's auto-answer.",Positive,This is an excellent tool especially when paired with your phones autoanswer,"['this', 'is', 'an', 'excellent', 'tool', 'especially', 'when', 'paired', 'with', 'your', 'phones', 'autoanswer']","['excellent', 'tool', 'especially', 'paired', 'phones', 'autoanswer']"
852,I have read other's reviews here but I haven't had any problem with it.,Positive,I have read others reviews here but I havent had any problem with it,"['i', 'have', 'read', 'others', 'reviews', 'here', 'but', 'i', 'havent', 'had', 'any', 'problem', 'with', 'it']","['read', 'others', 'reviews', 'havent', 'problem']"
853,These products cover up the important light sensor above the ear outlet.,Negative,These products cover up the important light sensor above the ear outlet,"['these', 'products', 'cover', 'up', 'the', 'important', 'light', 'sensor', 'above', 'the', 'ear', 'outlet']","['products', 'cover', 'important', 'light', 'sensor', 'ear', 'outlet']"
854,Comfortable in my hand.,Positive,Comfortable in my hand,"['comfortable', 'in', 'my', 'hand']","['comfortable', 'hand']"
855,Just does not work.,Negative,Just does not work,"['just', 'does', 'not', 'work']",['work']
856,Poor Reliability.,Negative,Poor Reliability,"['poor', 'reliability']","['poor', 'reliability']"
857,(It works!),Positive,It works,"['it', 'works']",['works']
858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",Negative,If I take a picture the battery drops a bar and starts beeping letting me know its dieing,"['if', 'i', 'take', 'a', 'picture', 'the', 'battery', 'drops', 'a', 'bar', 'and', 'starts', 'beeping', 'letting', 'me', 'know', 'its', 'dieing']","['take', 'picture', 'battery', 'drops', 'bar', 'starts', 'beeping', 'letting', 'know', 'dieing']"
859,"Terrible product, and waste of money!",Negative,Terrible product and waste of money,"['terrible', 'product', 'and', 'waste', 'of', 'money']","['terrible', 'product', 'waste', 'money']"
860,Last time buying from you.,Negative,Last time buying from you,"['last', 'time', 'buying', 'from', 'you']","['last', 'time', 'buying']"
861,It was a waste of my money.,Negative,It was a waste of my money,"['it', 'was', 'a', 'waste', 'of', 'my', 'money']","['waste', 'money']"
862,So far it has worked like a charm.,Positive,So far it has worked like a charm,"['so', 'far', 'it', 'has', 'worked', 'like', 'a', 'charm']","['far', 'worked', 'like', 'charm']"
863,"I have only had it for a few weeks, but so far, so good.",Positive,I have only had it for a few weeks but so far so good,"['i', 'have', 'only', 'had', 'it', 'for', 'a', 'few', 'weeks', 'but', 'so', 'far', 'so', 'good']","['weeks', 'far', 'good']"
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",Positive,But in any case the best part is you can download these pictures to your laptop using IR or even send pictures from your laptop to the phone,"['but', 'in', 'any', 'case', 'the', 'best', 'part', 'is', 'you', 'can', 'download', 'these', 'pictures', 'to', 'your', 'laptop', 'using', 'ir', 'or', 'even', 'send', 'pictures', 'from', 'your', 'laptop', 'to', 'the', 'phone']","['case', 'best', 'part', 'download', 'pictures', 'laptop', 'using', 'ir', 'even', 'send', 'pictures', 'laptop', 'phone']"
865,Would recommend this item.,Positive,Would recommend this item,"['would', 'recommend', 'this', 'item']","['would', 'recommend', 'item']"
866,It's been my choice headset for years.Great sound.  good volume.  good noise cancellation.,Positive,Its been my choice headset for yearsGreat sound  good volume  good noise cancellation,"['its', 'been', 'my', 'choice', 'headset', 'for', 'yearsgreat', 'sound', 'good', 'volume', 'good', 'noise', 'cancellation']","['choice', 'headset', 'yearsgreat', 'sound', 'good', 'volume', 'good', 'noise', 'cancellation']"
867,"Nice case, feels good in your hands.",Positive,Nice case feels good in your hands,"['nice', 'case', 'feels', 'good', 'in', 'your', 'hands']","['nice', 'case', 'feels', 'good', 'hands']"
868,The item received was Counterfeit.,Negative,The item received was Counterfeit,"['the', 'item', 'received', 'was', 'counterfeit']","['item', 'received', 'counterfeit']"
869,"Just really good.. So far, probably the best BT headset I have ever had.",Positive,Just really good So far probably the best BT headset I have ever had,"['just', 'really', 'good', 'so', 'far', 'probably', 'the', 'best', 'bt', 'headset', 'i', 'have', 'ever', 'had']","['really', 'good', 'far', 'probably', 'best', 'bt', 'headset', 'ever']"
870,Works fine.,Positive,Works fine,"['works', 'fine']","['works', 'fine']"
871,I received my headset in good time and was happy with it.,Positive,I received my headset in good time and was happy with it,"['i', 'received', 'my', 'headset', 'in', 'good', 'time', 'and', 'was', 'happy', 'with', 'it']","['received', 'headset', 'good', 'time', 'happy']"
872,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,Positive,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip,"['i', 'was', 'very', 'pleased', 'to', 'see', 'that', 'i', 'could', 'replace', 'my', 'well', 'travled', 'swivel', 'holster', 'for', 'my', 'blackberry', 'flip']","['pleased', 'see', 'could', 'replace', 'well', 'travled', 'swivel', 'holster', 'blackberry', 'flip']"
873,My sister has one also and she loves it.,Positive,My sister has one also and she loves it,"['my', 'sister', 'has', 'one', 'also', 'and', 'she', 'loves', 'it']","['sister', 'one', 'also', 'loves']"
874,Good Quality.,Positive,Good Quality,"['good', 'quality']","['good', 'quality']"
875,This is by far the worst purchase I've made on Amazon.,Negative,This is by far the worst purchase Ive made on Amazon,"['this', 'is', 'by', 'far', 'the', 'worst', 'purchase', 'ive', 'made', 'on', 'amazon']","['far', 'worst', 'purchase', 'ive', 'made', 'amazon']"
876,Excellent dual-purpose headset.,Positive,Excellent dualpurpose headset,"['excellent', 'dualpurpose', 'headset']","['excellent', 'dualpurpose', 'headset']"
877,Excellent!.,Positive,Excellent,['excellent'],['excellent']
878,Does not work for listening to music with the cingular 8125.,Negative,Does not work for listening to music with the cingular 8125,"['does', 'not', 'work', 'for', 'listening', 'to', 'music', 'with', 'the', 'cingular', '8125']","['work', 'listening', 'music', 'cingular', '8125']"
879,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",Positive,It seems completely secure both holding on to my belt and keeping the iPhone inside,"['it', 'seems', 'completely', 'secure', 'both', 'holding', 'on', 'to', 'my', 'belt', 'and', 'keeping', 'the', 'iphone', 'inside']","['seems', 'completely', 'secure', 'holding', 'belt', 'keeping', 'iphone', 'inside']"
880,"The bottowm line...another worthless, cheap gimmick from Sprint.",Negative,The bottowm lineanother worthless cheap gimmick from Sprint,"['the', 'bottowm', 'lineanother', 'worthless', 'cheap', 'gimmick', 'from', 'sprint']","['bottowm', 'lineanother', 'worthless', 'cheap', 'gimmick', 'sprint']"
881,Having trouble with volume.,Negative,Having trouble with volume,"['having', 'trouble', 'with', 'volume']","['trouble', 'volume']"
882,The only good thing was that it fits comfortably on small ears.,Positive,The only good thing was that it fits comfortably on small ears,"['the', 'only', 'good', 'thing', 'was', 'that', 'it', 'fits', 'comfortably', 'on', 'small', 'ears']","['good', 'thing', 'fits', 'comfortably', 'small', 'ears']"
883,WARNING - DO NOT BUY!!.,Negative,WARNING  DO NOT BUY,"['warning', 'do', 'not', 'buy']","['warning', 'buy']"
884,"I am pairing this with my iphone, and I could not be happier with it so far.",Positive,I am pairing this with my iphone and I could not be happier with it so far,"['i', 'am', 'pairing', 'this', 'with', 'my', 'iphone', 'and', 'i', 'could', 'not', 'be', 'happier', 'with', 'it', 'so', 'far']","['pairing', 'iphone', 'could', 'happier', 'far']"
885,"When it opens, the battery connection is broken and the device is turned off.",Negative,When it opens the battery connection is broken and the device is turned off,"['when', 'it', 'opens', 'the', 'battery', 'connection', 'is', 'broken', 'and', 'the', 'device', 'is', 'turned', 'off']","['opens', 'battery', 'connection', 'broken', 'device', 'turned']"
886,"I didn't want the clip going over the top of my ear, causing discomfort.",Negative,I didnt want the clip going over the top of my ear causing discomfort,"['i', 'didnt', 'want', 'the', 'clip', 'going', 'over', 'the', 'top', 'of', 'my', 'ear', 'causing', 'discomfort']","['didnt', 'want', 'clip', 'going', 'top', 'ear', 'causing', 'discomfort']"
887,Best headset ever!!!.,Positive,Best headset ever,"['best', 'headset', 'ever']","['best', 'headset', 'ever']"
888,Don't trust their website and don't expect any helpful support.,Negative,Dont trust their website and dont expect any helpful support,"['dont', 'trust', 'their', 'website', 'and', 'dont', 'expect', 'any', 'helpful', 'support']","['dont', 'trust', 'website', 'dont', 'expect', 'helpful', 'support']"
889,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,Positive,It was that loudGlad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use,"['it', 'was', 'that', 'loudglad', 'to', 'say', 'that', 'the', 'plantronics', '510', 'maintains', 'a', 'flawless', 'connection', 'to', 'my', 'cell', 'and', 'with', 'no', 'static', 'during', 'normal', 'use']","['loudglad', 'say', 'plantronics', '510', 'maintains', 'flawless', 'connection', 'cell', 'static', 'normal', 'use']"
890,The speaker is of low quality so as making the ring tones sound very cheap.,Negative,The speaker is of low quality so as making the ring tones sound very cheap,"['the', 'speaker', 'is', 'of', 'low', 'quality', 'so', 'as', 'making', 'the', 'ring', 'tones', 'sound', 'very', 'cheap']","['speaker', 'low', 'quality', 'making', 'ring', 'tones', 'sound', 'cheap']"
891,"Fits comfortably, came with three sizes of earbud tips.",Positive,Fits comfortably came with three sizes of earbud tips,"['fits', 'comfortably', 'came', 'with', 'three', 'sizes', 'of', 'earbud', 'tips']","['fits', 'comfortably', 'came', 'three', 'sizes', 'earbud', 'tips']"
892,Excellent product for the price.,Positive,Excellent product for the price,"['excellent', 'product', 'for', 'the', 'price']","['excellent', 'product', 'price']"
893,Bad Reception.,Negative,Bad Reception,"['bad', 'reception']","['bad', 'reception']"
894,This product is very High quality Chinese CRAP!!!!!!,Negative,This product is very High quality Chinese CRAP,"['this', 'product', 'is', 'very', 'high', 'quality', 'chinese', 'crap']","['product', 'high', 'quality', 'chinese', 'crap']"
895,It was quite comfortable in the ear.,Positive,It was quite comfortable in the ear,"['it', 'was', 'quite', 'comfortable', 'in', 'the', 'ear']","['quite', 'comfortable', 'ear']"
896,Great phone.,Positive,Great phone,"['great', 'phone']","['great', 'phone']"
897,Don't buy this product - It fails!.,Negative,Dont buy this product  It fails,"['dont', 'buy', 'this', 'product', 'it', 'fails']","['dont', 'buy', 'product', 'fails']"
898,Everything about this product is wrong.First,Negative,Everything about this product is wrongFirst,"['everything', 'about', 'this', 'product', 'is', 'wrongfirst']","['everything', 'product', 'wrongfirst']"
899,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,Positive,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature,"['the', 'pairing', 'of', 'the', 'two', 'devices', 'was', 'so', 'easy', 'it', 'barely', 'took', 'a', 'couple', 'minutes', 'before', 'i', 'started', 'making', 'calls', 'with', 'the', 'voice', 'dialing', 'feature']","['pairing', 'two', 'devices', 'easy', 'barely', 'took', 'couple', 'minutes', 'started', 'making', 'calls', 'voice', 'dialing', 'feature']"
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",Negative,This was utterly confusing at first which caused me to lose a couple of very very important contacts,"['this', 'was', 'utterly', 'confusing', 'at', 'first', 'which', 'caused', 'me', 'to', 'lose', 'a', 'couple', 'of', 'very', 'very', 'important', 'contacts']","['utterly', 'confusing', 'first', 'caused', 'lose', 'couple', 'important', 'contacts']"
901,Terrible phone holder.,Negative,Terrible phone holder,"['terrible', 'phone', 'holder']","['terrible', 'phone', 'holder']"
902,The cutouts and buttons are placed perfectly.,Positive,The cutouts and buttons are placed perfectly,"['the', 'cutouts', 'and', 'buttons', 'are', 'placed', 'perfectly']","['cutouts', 'buttons', 'placed', 'perfectly']"
903,I love being able to use one headset for both by land-line and cell.,Positive,I love being able to use one headset for both by landline and cell,"['i', 'love', 'being', 'able', 'to', 'use', 'one', 'headset', 'for', 'both', 'by', 'landline', 'and', 'cell']","['love', 'able', 'use', 'one', 'headset', 'landline', 'cell']"
904,Problem is that the ear loops are made of weak material and break easily.,Negative,Problem is that the ear loops are made of weak material and break easily,"['problem', 'is', 'that', 'the', 'ear', 'loops', 'are', 'made', 'of', 'weak', 'material', 'and', 'break', 'easily']","['problem', 'ear', 'loops', 'made', 'weak', 'material', 'break', 'easily']"
905,Not nearly as good looking as the AMAZON picture makes it look.,Negative,Not nearly as good looking as the AMAZON picture makes it look,"['not', 'nearly', 'as', 'good', 'looking', 'as', 'the', 'amazon', 'picture', 'makes', 'it', 'look']","['nearly', 'good', 'looking', 'amazon', 'picture', 'makes', 'look']"
906,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",Positive,But despite these few flaws this case is of exceptional quality and well worth the additional costs of owning an official OEM product,"['but', 'despite', 'these', 'few', 'flaws', 'this', 'case', 'is', 'of', 'exceptional', 'quality', 'and', 'well', 'worth', 'the', 'additional', 'costs', 'of', 'owning', 'an', 'official', 'oem', 'product']","['despite', 'flaws', 'case', 'exceptional', 'quality', 'well', 'worth', 'additional', 'costs', 'owning', 'official', 'oem', 'product']"
907,How stupid is that?,Negative,How stupid is that,"['how', 'stupid', 'is', 'that']",['stupid']
908,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",Positive,I can hear while Im driving in the car and usually dont even have to put it on its loudest setting,"['i', 'can', 'hear', 'while', 'im', 'driving', 'in', 'the', 'car', 'and', 'usually', 'dont', 'even', 'have', 'to', 'put', 'it', 'on', 'its', 'loudest', 'setting']","['hear', 'im', 'driving', 'car', 'usually', 'dont', 'even', 'put', 'loudest', 'setting']"
909,Seller shipped quickly and much cheaper than the competitors.,Positive,Seller shipped quickly and much cheaper than the competitors,"['seller', 'shipped', 'quickly', 'and', 'much', 'cheaper', 'than', 'the', 'competitors']","['seller', 'shipped', 'quickly', 'much', 'cheaper', 'competitors']"
910,"Good show, Samsung.",Positive,Good show Samsung,"['good', 'show', 'samsung']","['good', 'show', 'samsung']"
911,So I bought about 10 of these and saved alot of money.,Positive,So I bought about 10 of these and saved alot of money,"['so', 'i', 'bought', 'about', '10', 'of', 'these', 'and', 'saved', 'alot', 'of', 'money']","['bought', '10', 'saved', 'alot', 'money']"
912,It always cuts out and makes a beep beep beep sound then says signal failed.,Negative,It always cuts out and makes a beep beep beep sound then says signal failed,"['it', 'always', 'cuts', 'out', 'and', 'makes', 'a', 'beep', 'beep', 'beep', 'sound', 'then', 'says', 'signal', 'failed']","['always', 'cuts', 'makes', 'beep', 'beep', 'beep', 'sound', 'says', 'signal', 'failed']"
913,Couldn't figure it out,Negative,Couldnt figure it out,"['couldnt', 'figure', 'it', 'out']","['couldnt', 'figure']"
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",Negative,My phone sounded OK  not great  OK but my wifes phone was almost totally unintelligible she couldnt understand a word being said on it,"['my', 'phone', 'sounded', 'ok', 'not', 'great', 'ok', 'but', 'my', 'wifes', 'phone', 'was', 'almost', 'totally', 'unintelligible', 'she', 'couldnt', 'understand', 'a', 'word', 'being', 'said', 'on', 'it']","['phone', 'sounded', 'ok', 'great', 'ok', 'wifes', 'phone', 'almost', 'totally', 'unintelligible', 'couldnt', 'understand', 'word', 'said']"
915,So I had to take the battery out of the phone put it all back together and then restart it.,Negative,So I had to take the battery out of the phone put it all back together and then restart it,"['so', 'i', 'had', 'to', 'take', 'the', 'battery', 'out', 'of', 'the', 'phone', 'put', 'it', 'all', 'back', 'together', 'and', 'then', 'restart', 'it']","['take', 'battery', 'phone', 'put', 'back', 'together', 'restart']"
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",Negative,While I managed to bend the leaf spring back in place the metal now has enough stress that it will break on the next drop,"['while', 'i', 'managed', 'to', 'bend', 'the', 'leaf', 'spring', 'back', 'in', 'place', 'the', 'metal', 'now', 'has', 'enough', 'stress', 'that', 'it', 'will', 'break', 'on', 'the', 'next', 'drop']","['managed', 'bend', 'leaf', 'spring', 'back', 'place', 'metal', 'enough', 'stress', 'break', 'next', 'drop']"
917,Leopard Print is wonderfully wild!.,Positive,Leopard Print is wonderfully wild,"['leopard', 'print', 'is', 'wonderfully', 'wild']","['leopard', 'print', 'wonderfully', 'wild']"
918,Works for me.,Positive,Works for me,"['works', 'for', 'me']",['works']
919,"Saggy, floppy piece of junk.",Negative,Saggy floppy piece of junk,"['saggy', 'floppy', 'piece', 'of', 'junk']","['saggy', 'floppy', 'piece', 'junk']"
920,much better than the hard plastic cases.,Positive,much better than the hard plastic cases,"['much', 'better', 'than', 'the', 'hard', 'plastic', 'cases']","['much', 'better', 'hard', 'plastic', 'cases']"
921,It also had a new problem.,Negative,It also had a new problem,"['it', 'also', 'had', 'a', 'new', 'problem']","['also', 'new', 'problem']"
922,Happy so far!.,Positive,Happy so far,"['happy', 'so', 'far']","['happy', 'far']"
923,cool phone.,Positive,cool phone,"['cool', 'phone']","['cool', 'phone']"
924,Works good.,Positive,Works good,"['works', 'good']","['works', 'good']"
925,Motorola finally got the voice quality of a bluetooth headset right.,Positive,Motorola finally got the voice quality of a bluetooth headset right,"['motorola', 'finally', 'got', 'the', 'voice', 'quality', 'of', 'a', 'bluetooth', 'headset', 'right']","['motorola', 'finally', 'got', 'voice', 'quality', 'bluetooth', 'headset', 'right']"
926,It looses connection to the phone even when it is within a couple feet between the two.,Negative,It looses connection to the phone even when it is within a couple feet between the two,"['it', 'looses', 'connection', 'to', 'the', 'phone', 'even', 'when', 'it', 'is', 'within', 'a', 'couple', 'feet', 'between', 'the', 'two']","['looses', 'connection', 'phone', 'even', 'within', 'couple', 'feet', 'two']"
927,"but it is great, i would really recommend it",Positive,but it is great i would really recommend it,"['but', 'it', 'is', 'great', 'i', 'would', 'really', 'recommend', 'it']","['great', 'would', 'really', 'recommend']"
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,Negative,Makes it easier to keep up with my bluetooth when Im not wearing it,"['makes', 'it', 'easier', 'to', 'keep', 'up', 'with', 'my', 'bluetooth', 'when', 'im', 'not', 'wearing', 'it']","['makes', 'easier', 'keep', 'bluetooth', 'im', 'wearing']"
929,As I said above....PRETTY USELESS!,Negative,As I said abovePRETTY USELESS,"['as', 'i', 'said', 'abovepretty', 'useless']","['said', 'abovepretty', 'useless']"
930,Never got it!!!!!,Negative,Never got it,"['never', 'got', 'it']","['never', 'got']"
931,This pair of headphones is the worst that I have ever had sound-wise.,Negative,This pair of headphones is the worst that I have ever had soundwise,"['this', 'pair', 'of', 'headphones', 'is', 'the', 'worst', 'that', 'i', 'have', 'ever', 'had', 'soundwise']","['pair', 'headphones', 'worst', 'ever', 'soundwise']"
932,[...] down the drain because of a weak snap!,Negative, down the drain because of a weak snap,"['down', 'the', 'drain', 'because', 'of', 'a', 'weak', 'snap']","['drain', 'weak', 'snap']"
933,Does not charge the Cingular (ATT) 8525 phone.,Negative,Does not charge the Cingular ATT 8525 phone,"['does', 'not', 'charge', 'the', 'cingular', 'att', '8525', 'phone']","['charge', 'cingular', 'att', '8525', 'phone']"
934,"You get extra minutes so that you can carry out the call and not get cut off.""",Positive,You get extra minutes so that you can carry out the call and not get cut off,"['you', 'get', 'extra', 'minutes', 'so', 'that', 'you', 'can', 'carry', 'out', 'the', 'call', 'and', 'not', 'get', 'cut', 'off']","['get', 'extra', 'minutes', 'carry', 'call', 'get', 'cut']"
935,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",Negative,However after about a year the fliptop started to get loose and wobbly and eventually my screen went black and I couldnt receive and place calls,"['however', 'after', 'about', 'a', 'year', 'the', 'fliptop', 'started', 'to', 'get', 'loose', 'and', 'wobbly', 'and', 'eventually', 'my', 'screen', 'went', 'black', 'and', 'i', 'couldnt', 'receive', 'and', 'place', 'calls']","['however', 'year', 'fliptop', 'started', 'get', 'loose', 'wobbly', 'eventually', 'screen', 'went', 'black', 'couldnt', 'receive', 'place', 'calls']"
936,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,Negative,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off,"['i', 'kept', 'catching', 'the', 'cable', 'on', 'the', 'seat', 'and', 'i', 'had', 'to', 'pull', 'the', 'phone', 'out', 'to', 'turn', 'it', 'on', 'an', 'off']","['kept', 'catching', 'cable', 'seat', 'pull', 'phone', 'turn']"
937,The headset fulfills my requirements so I am happy with my purchase.,Positive,The headset fulfills my requirements so I am happy with my purchase,"['the', 'headset', 'fulfills', 'my', 'requirements', 'so', 'i', 'am', 'happy', 'with', 'my', 'purchase']","['headset', 'fulfills', 'requirements', 'happy', 'purchase']"
938,Logitech Bluetooth Headset is a 10!.,Positive,Logitech Bluetooth Headset is a 10,"['logitech', 'bluetooth', 'headset', 'is', 'a', '10']","['logitech', 'bluetooth', 'headset', '10']"
939,"I like the fact that it rests lightly against your ear, rather than inside.",Positive,I like the fact that it rests lightly against your ear rather than inside,"['i', 'like', 'the', 'fact', 'that', 'it', 'rests', 'lightly', 'against', 'your', 'ear', 'rather', 'than', 'inside']","['like', 'fact', 'rests', 'lightly', 'ear', 'rather', 'inside']"
940,A lot of websites have been rating this a very good phone and so do I.,Positive,A lot of websites have been rating this a very good phone and so do I,"['a', 'lot', 'of', 'websites', 'have', 'been', 'rating', 'this', 'a', 'very', 'good', 'phone', 'and', 'so', 'do', 'i']","['lot', 'websites', 'rating', 'good', 'phone']"
